City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,belaya glina,46.07,40.86,17.4,26,0,4.04,RU,1693432913
291,sarmiento,-45.5882,-69.07,7.04,41,2,12.6,AR,1693432913
292,kargil,34.5667,76.1,13.89,47,0,2.05,IN,1693432914
293,kiunga,-6.1219,141.2906,21.91,86,100,1.57,PG,1693432914
294,kidal,18.4411,1.4078,37.08,22,100,4.51,ML,1693432914
295,pacific grove,36.6177,-121.9166,33.69,76,0,4.47,US,1693432914
296,port lincoln,-34.7333,135.8667,12.78,78,100,3.82,AU,1693432914
297,banda aceh,5.5577,95.3222,26.71,78,100,5.9,ID,1693432915
298,magdagachi,53.45,125.8,13.91,92,100,2.38,RU,1693432915
299,guarapari,-20.6667,-40.4975,23.27,94,69,1.58,BR,1693432915
300,campbell river,50.0163,-125.2446,22.21,49,75,3.6,CA,1693432840
301,grand falls-windsor,48.9332,-55.6649,18.61,93,100,1.34,CA,1693432915
302,susangerd,31.5608,48.1831,34.05,22,0,3.46,IR,1693432666
303,guerrero negro,27.9769,-114.0611,28.62,55,96,5.44,MX,1693432916
304,atoyac de alvarez,17.2,-100.4333,27.89,86,93,0.69,MX,1693432916
305,bengkulu,-3.8004,102.2655,24.5,89,100,3.37,ID,1693432916
306,shiojiri,36.1,137.9667,23.1,75,95,1.93,JP,1693432916
307,wenxing,28.6667,112.8833,20.1,95,56,2.32,CN,1693432916
308,ad darb,17.7229,42.2526,32.09,47,88,0.7,SA,1693432917
309,cape town,-33.9258,18.4232,15.06,79,75,6.69,ZA,1693432439
310,garachico,28.7781,-17.7646,23.06,65,100,4.63,ES,1693432917
311,victoria de durango,24.0333,-104.6667,19.44,73,98,2.56,MX,1693432749
312,katsuura,35.1333,140.3,27.0,81,100,4.24,JP,1693432917
313,northam,51.0333,-4.2167,13.55,88,100,2.61,GB,1693432918
314,la passe,45.5549,-0.8967,16.66,70,49,4.26,FR,1693432918
315,kyzyl,51.7,94.45,20.29,59,100,1.79,RU,1693432918
316,bueu,42.3246,-8.785,20.53,78,0,3.09,ES,1693432919
317,limbdi,22.5667,71.8,27.84,64,19,4.9,IN,1693432919
318,mersing,2.4312,103.8405,24.95,94,20,2.06,MY,1693432919
319,port mathurin,-19.6833,63.4167,22.1,71,51,3.62,MU,1693432867
320,yerofey pavlovich,53.9667,121.9667,13.93,74,19,1.83,RU,1693432919
321,san fernando de apure,7.8878,-67.4724,27.99,84,61,1.84,VE,1693432920
322,panacan,9.2463,118.4082,26.91,78,100,2.29,PH,1693432920
323,lospalos,-8.5186,127.0025,18.93,77,98,2.75,TL,1693432681
324,freetown,8.484,-13.2299,26.84,83,40,3.09,SL,1693432920
325,bytow,54.1706,17.4919,14.0,97,100,2.01,PL,1693432920
326,saudarkrokur,65.7461,-19.6394,10.75,80,100,0.3,IS,1693432921
327,altamont,42.2068,-121.7372,25.43,32,0,2.24,US,1693432921
328,hirara,24.8,125.2833,26.92,94,75,3.09,JP,1693432652
329,alesund,62.4723,6.1549,14.31,89,0,4.12,NO,1693432826
330,niafunke,15.9322,-3.9906,30.61,47,82,7.41,ML,1693432927
331,gaalkacyo,6.7697,47.4308,25.31,59,39,9.39,SO,1693432931
332,khovd,48.0056,91.6419,17.51,50,91,2.11,MN,1693432932
333,harper,4.375,-7.7169,25.01,83,92,3.53,LR,1693432932
334,las khorey,11.1595,48.1967,31.86,54,41,2.55,SO,1693432932
335,turpan,42.9333,89.1667,30.41,26,0,1.12,CN,1693432935
336,yemva,62.59,50.8594,11.02,69,100,1.38,RU,1693432935
337,kerikeri,-35.2268,173.9474,12.17,91,3,1.54,NZ,1693432935
338,tamanrasset,22.785,5.5228,28.95,24,0,2.06,DZ,1693432886
339,lazaro cardenas,17.9583,-102.2,30.25,69,68,3.41,MX,1693432803
340,luoyang,34.6836,112.4536,21.6,89,0,0.93,CN,1693432815
341,longonjo,-12.9067,15.2533,18.3,23,0,1.95,AO,1693432936
342,mchinji,-13.7984,32.8802,14.37,61,5,1.64,MW,1693432936
